0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
36,32,34,30,34,23,27,36,36,27,30,23,35,36,37,32,32,32,31
35,28,33,36,33,24,29,35,35,29,24,33,34,35,29,28,28,37,30
24,17,36,22,36,21,31,24,24,31,21,26,30,24,23,17,17,33,29
24,17,36,22,36,21,31,24,24,31,21,26,30,24,23,17,17,33,29
32,20,35,28,35,28,35,32,32,35,24,32,33,32,39,20,20,27,26
21,18,30,24,30,23,33,21,21,33,23,29,24,21,20,18,18,22,26
27,21,29,27,29,21,36,27,27,36,21,26,30,27,18,21,21,29,29
27,34,29,36,29,26,27,27,27,27,53,32,26,27,23,34,34,29,29
32,20,35,28,35,28,35,32,32,35,24,32,33,32,39,20,20,27,26
30,29,31,43,31,34,30,30,30,30,26,23,38,30,24,29,29,29,44
27,34,29,36,29,26,27,27,27,27,53,32,26,27,23,34,34,29,29
32,20,35,28,35,28,35,32,32,35,24,32,33,32,39,20,20,27,26
20,33,35,34,35,53,19,20,20,19,25,21,33,20,32,33,33,42,24
27,21,29,27,29,21,36,27,27,36,21,26,30,27,18,21,21,29,29
32,28,39,36,39,37,32,32,32,32,33,37,31,32,22,28,28,31,43
32,20,35,28,35,28,35,32,32,35,24,32,33,32,39,20,20,27,26
24,17,36,22,36,21,31,24,24,31,21,26,30,24,23,17,17,33,29
38,28,46,57,46,32,25,38,38,25,29,25,36,38,26,28,28,30,33
21,18,30,24,30,23,33,21,21,33,23,29,24,21,20,18,18,22,26
21,18,30,24,30,23,33,21,21,33,23,29,24,21,20,18,18,22,26
26,28,33,39,33,24,25,26,26,25,33,20,37,26,22,28,28,34,27
24,17,36,22,36,21,31,24,24,31,21,26,30,24,23,17,17,33,29
27,34,29,36,29,26,27,27,27,27,53,32,26,27,23,34,34,29,29
32,20,35,28,35,28,35,32,32,35,24,32,33,32,39,20,20,27,26
